Street,City,District,State,SALE_YEAR,area,zoning,latitude,longitude,waterApplicable,waterDistance,roadApplicable,roadDistance,schoolApplicable,schoolDistance,railwayApplicable,railwayDistance,busApplicable,busDistance,price,past_prices
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2023,5.1938,Industrial,12.9791,80.2209,applicable,5.4,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,60844900.0,"[189200.0, 10473500.0, 47400.0, 76037300.0, 2009200.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2021,0.167,Industrial,10.9979,76.9994,applicable,2.16,applicable,1.31,applicable,4.08,applicable,1.48,notApplicable,0.0,1205300.0,"[0, 0, 0, 0, 0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2022,0.3294,Residential,8.813,78.1341,applicable,0.81,notApplicable,0.0,applicable,2.08,applicable,0.29,applicable,3.99,1529100.0,"[381400.0, 24209200.0, 9471000.0, 3488900.0, 1032100.0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2022,0.0192,Industrial,11.0183,76.997,notApplicable,0.0,applicable,4.33,notApplicable,0.0,applicable,4.79,notApplicable,0.0,152700.0,"[1821200.0, 2196700.0, 12626700.0, 9188700.0, 926300.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2023,0.36,Residential,9.4523,77.5533,applicable,3.0,applicable,2.14,notApplicable,0.0,applicable,3.73,notApplicable,0.0,1473800.0,"[473200.0, 907600.0, 9940800.0, 17000.0, 6568100.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2022,0.0805,Conservation,9.924,78.135,applicable,2.37,applicable,1.92,notApplicable,0.0,notApplicable,0.0,applicable,1.08,88600.0,"[28520000.0, 69877900.0, 3595000.0, 12856800.0, 783100.0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2025,1.816,Residential,10.4508,77.5148,applicable,1.87,applicable,0.34,applicable,5.11,notApplicable,0.0,applicable,2.12,55017500.0,"[67869300.0, 103542900.0, 44925200.0, 3078900.0, 472800.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2022,0.0951,Residential,11.0175,76.9725,applicable,5.64,applicable,0.93,notApplicable,0.0,applicable,1.21,notApplicable,0.0,655100.0,"[146100.0, 30568900.0, 3386000.0, 189000.0, 1281900.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2022,0.2992,Residential,8.813,78.1341,applicable,3.89,applicable,1.78,applicable,4.73,applicable,0.66,applicable,5.84,1090200.0,"[381400.0, 24209200.0, 9471000.0, 3488900.0, 1032100.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2024,2.9353,Industrial,12.9791,80.2209,applicable,3.65,applicable,1.09,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,35323200.0,"[379000.0, 3141200.0, 326500.0, 7256100.0, 46031100.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2024,1.3432,Industrial,10.9979,76.9994,applicable,3.1,applicable,4.41,applicable,3.05,applicable,5.57,applicable,5.65,7464200.0,"[28982900.0, 2522000.0, 76780500.0, 1959500.0, 211100.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2024,0.0531,Industrial,9.9677,78.1653,applicable,5.5,applicable,4.39,applicable,3.16,applicable,3.03,applicable,4.19,255900.0,"[4168000.0, 802400.0, 26200.0, 533700.0, 2412900.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2024,0.113,Industrial,11.0175,76.9725,applicable,1.67,applicable,3.69,applicable,5.72,applicable,5.08,applicable,0.27,777400.0,"[749700.0, 35211300.0, 14300700.0, 151900.0, 7908700.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2024,7.4597,Industrial,11.0175,76.9725,applicable,5.34,applicable,3.6,notApplicable,0.0,notApplicable,0.0,applicable,4.46,54679200.0,"[749700.0, 35211300.0, 14300700.0, 151900.0, 7908700.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2021,0.4218,Agricultural,11.0616,76.9366,notApplicable,0.0,applicable,0.21,applicable,0.61,notApplicable,0.0,notApplicable,0.0,1072300.0,"[0, 0, 0, 0, 0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2023,0.2097,Industrial,8.7139,77.7567,applicable,1.37,applicable,4.55,applicable,4.89,notApplicable,0.0,applicable,1.31,1127400.0,"[380900.0, 143400.0, 2666400.0, 5706900.0, 18473300.0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2024,1.8025,Industrial,9.921,78.1197,applicable,3.01,applicable,4.61,applicable,0.26,applicable,1.74,applicable,5.74,10813900.0,"[13126300.0, 3278400.0, 1299100.0, 68100.0, 1681000.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2021,1.0635,Agricultural,8.813,78.1341,notApplicable,0.0,applicable,5.36,applicable,6.0,applicable,4.94,applicable,5.66,1099200.0,"[0, 0, 0, 0, 0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2021,2.0185,Conservation,9.924,78.135,notApplicable,0.0,notApplicable,0.0,applicable,1.82,notApplicable,0.0,notApplicable,0.0,2470400.0,"[0, 0, 0, 0, 0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2023,0.3902,Residential,9.921,78.1197,applicable,5.27,applicable,5.82,notApplicable,0.0,applicable,4.47,applicable,4.13,1681000.0,"[1217400.0, 5297300.0, 867300.0, 637900.0, 19826500.0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2025,7.6489,Industrial,11.349,77.6951,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,applicable,1.33,60413200.0,"[211600.0, 1723100.0, 70300.0, 8785600.0, 5728200.0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2025,6.9941,Conservation,8.7139,77.7567,applicable,1.43,applicable,4.57,applicable,4.03,notApplicable,0.0,applicable,0.72,5990200.0,"[1664700.0, 1252200.0, 112000.0, 32276700.0, 930400.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2022,1.0752,Agricultural,11.0616,76.9366,applicable,3.87,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,2400000.0,"[2199400.0, 364900.0, 65164200.0, 4100200.0, 409200.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2022,5.8639,Commercial,8.813,78.1341,notApplicable,0.0,applicable,5.8,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,52793400.0,"[381400.0, 24209200.0, 9471000.0, 3488900.0, 1032100.0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2023,0.1807,Residential,11.0183,76.997,notApplicable,0.0,applicable,3.55,applicable,0.21,notApplicable,0.0,notApplicable,0.0,1364500.0,"[927400.0, 7279800.0, 9981500.0, 14718500.0, 119400.0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2024,0.2619,Residential,8.7139,77.7567,applicable,2.87,applicable,1.04,applicable,5.67,applicable,5.06,applicable,3.1,930400.0,"[64300.0, 1336400.0, 731500.0, 1127400.0, 21164800.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2022,1.7416,Commercial,9.4523,77.5533,applicable,2.97,notApplicable,0.0,applicable,5.01,notApplicable,0.0,notApplicable,0.0,12623900.0,"[2984500.0, 135500.0, 22986900.0, 3420700.0, 364500.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2021,0.2666,Industrial,11.0616,76.9366,notApplicable,0.0,applicable,2.47,notApplicable,0.0,applicable,5.91,applicable,4.02,1823400.0,"[0, 0, 0, 0, 0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2024,6.5463,Conservation,10.4508,77.5148,applicable,3.38,applicable,0.76,applicable,2.08,notApplicable,0.0,notApplicable,0.0,8949100.0,"[64681100.0, 241700.0, 44019300.0, 6392900.0, 43591700.0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2023,0.7063,Agricultural,9.921,78.1197,notApplicable,0.0,applicable,2.3,notApplicable,0.0,applicable,5.17,applicable,0.79,1299100.0,"[1217400.0, 5297300.0, 867300.0, 637900.0, 19826500.0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2024,0.1431,Residential,9.921,78.1197,applicable,2.16,applicable,2.72,notApplicable,0.0,applicable,1.06,applicable,4.39,750400.0,"[13126300.0, 3278400.0, 1299100.0, 68100.0, 1681000.0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2024,5.9168,Residential,12.9834,80.259,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,applicable,4.95,applicable,2.42,52497700.0,"[42756000.0, 33292000.0, 2462400.0, 71681000.0, 571300.0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2021,0.1789,Commercial,11.349,77.6951,applicable,4.81,applicable,1.25,applicable,3.01,applicable,3.94,notApplicable,0.0,1184000.0,"[0, 0, 0, 0, 0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2021,5.2251,Residential,9.4523,77.5533,notApplicable,0.0,applicable,3.03,applicable,3.21,notApplicable,0.0,notApplicable,0.0,22109100.0,"[0, 0, 0, 0, 0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2022,0.4642,Agricultural,11.0616,76.9366,applicable,3.99,applicable,0.71,applicable,1.69,applicable,4.57,applicable,0.69,818600.0,"[2199400.0, 364900.0, 65164200.0, 4100200.0, 409200.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2025,0.034,Commercial,10.9979,76.9994,notApplicable,0.0,applicable,3.55,notApplicable,0.0,notApplicable,0.0,applicable,4.23,401600.0,"[10468800.0, 6219300.0, 2222100.0, 21552800.0, 9695700.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2025,0.0815,Conservation,9.9677,78.1653,applicable,1.45,applicable,2.28,notApplicable,0.0,notApplicable,0.0,applicable,0.95,102700.0,"[4184000.0, 91200.0, 633300.0, 5907800.0, 1041800.0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2023,0.745,Conservation,12.9834,80.259,applicable,1.76,notApplicable,0.0,applicable,3.87,applicable,3.94,applicable,4.34,919300.0,"[964500.0, 12154600.0, 507200.0, 352500.0, 52013100.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2025,6.7267,Conservation,11.0175,76.9725,applicable,3.38,applicable,0.58,applicable,3.91,applicable,2.3,applicable,2.13,6907700.0,"[3325300.0, 34099900.0, 2136000.0, 1981200.0, 777400.0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2023,0.0114,Residential,9.921,78.1197,notApplicable,0.0,applicable,4.88,applicable,0.75,notApplicable,0.0,applicable,2.22,68100.0,"[1217400.0, 5297300.0, 867300.0, 637900.0, 19826500.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2023,7.6791,Conservation,10.9979,76.9994,applicable,5.32,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,applicable,2.54,9455500.0,"[55643900.0, 2814500.0, 183600.0, 6293500.0, 1819100.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2025,0.714,Agricultural,10.9979,76.9994,applicable,3.73,applicable,4.3,notApplicable,0.0,notApplicable,0.0,applicable,1.26,1512500.0,"[10468800.0, 6219300.0, 2222100.0, 21552800.0, 9695700.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2025,0.4834,Industrial,8.813,78.1341,applicable,0.72,notApplicable,0.0,notApplicable,0.0,applicable,0.66,applicable,4.43,3378100.0,"[533300.0, 731300.0, 29081400.0, 8490900.0, 1311400.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2021,0.0218,Conservation,12.9791,80.2209,notApplicable,0.0,applicable,3.19,applicable,5.99,notApplicable,0.0,applicable,5.35,27800.0,"[0, 0, 0, 0, 0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2025,0.5109,Agricultural,9.924,78.135,applicable,3.26,applicable,3.73,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,971500.0,"[429900.0, 2455500.0, 261600.0, 10850700.0, 9447900.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2022,0.0345,Conservation,12.9791,80.2209,applicable,1.65,applicable,3.33,applicable,4.65,applicable,0.88,notApplicable,0.0,47400.0,"[4480300.0, 1136800.0, 2472800.0, 2723700.0, 2990600.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2022,0.0103,Commercial,10.9979,76.9994,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,applicable,2.87,applicable,1.93,116500.0,"[303400.0, 1319200.0, 1369900.0, 26184100.0, 1205300.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2024,0.1855,Residential,9.9677,78.1653,applicable,2.93,notApplicable,0.0,applicable,2.37,notApplicable,0.0,applicable,2.31,1041800.0,"[4168000.0, 802400.0, 26200.0, 533700.0, 2412900.0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2021,2.8392,Commercial,8.7139,77.7567,applicable,0.98,notApplicable,0.0,notApplicable,0.0,applicable,2.64,applicable,2.12,21987400.0,"[0, 0, 0, 0, 0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2024,4.9344,Residential,11.0175,76.9725,notApplicable,0.0,applicable,3.11,applicable,5.56,notApplicable,0.0,notApplicable,0.0,34099900.0,"[749700.0, 35211300.0, 14300700.0, 151900.0, 7908700.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2021,0.1441,Residential,9.924,78.135,notApplicable,0.0,applicable,4.48,notApplicable,0.0,applicable,2.72,notApplicable,0.0,802100.0,"[0, 0, 0, 0, 0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2024,0.0447,Agricultural,11.349,77.6951,notApplicable,0.0,notApplicable,0.0,applicable,4.3,notApplicable,0.0,applicable,4.9,70300.0,"[34594300.0, 709100.0, 364400.0, 282100.0, 42800.0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2022,0.0364,Conservation,8.7139,77.7567,applicable,3.78,applicable,0.73,notApplicable,0.0,notApplicable,0.0,applicable,0.5,34900.0,"[227100.0, 1768500.0, 24629000.0, 12892900.0, 551200.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2022,1.2648,Residential,10.9979,76.9994,applicable,5.39,applicable,1.25,notApplicable,0.0,notApplicable,0.0,applicable,0.2,9046500.0,"[303400.0, 1319200.0, 1369900.0, 26184100.0, 1205300.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2023,3.109,Residential,9.9677,78.1653,applicable,5.2,applicable,2.12,applicable,4.5,applicable,2.3,applicable,4.72,12836900.0,"[684300.0, 148600.0, 1293000.0, 2137000.0, 3727400.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2023,0.0394,Residential,9.9677,78.1653,applicable,2.79,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,applicable,0.77,261200.0,"[684300.0, 148600.0, 1293000.0, 2137000.0, 3727400.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2023,0.1115,Commercial,9.4523,77.5533,applicable,5.11,applicable,3.45,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,841400.0,"[473200.0, 907600.0, 9940800.0, 17000.0, 6568100.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2021,0.1375,Industrial,9.9677,78.1653,applicable,0.55,applicable,5.84,notApplicable,0.0,applicable,1.3,notApplicable,0.0,1010000.0,"[0, 0, 0, 0, 0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2025,4.3049,Conservation,11.349,77.6951,applicable,4.24,applicable,5.3,applicable,4.79,applicable,2.84,applicable,4.3,2762100.0,"[211600.0, 1723100.0, 70300.0, 8785600.0, 5728200.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2023,0.3433,Residential,10.9979,76.9994,applicable,5.27,applicable,0.5,notApplicable,0.0,applicable,5.88,applicable,5.94,1926100.0,"[55643900.0, 2814500.0, 183600.0, 6293500.0, 1819100.0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2023,0.9868,Agricultural,12.9834,80.259,notApplicable,0.0,applicable,4.93,notApplicable,0.0,applicable,4.98,applicable,1.47,2462400.0,"[964500.0, 12154600.0, 507200.0, 352500.0, 52013100.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2021,0.0852,Commercial,12.9791,80.2209,notApplicable,0.0,applicable,3.71,notApplicable,0.0,applicable,1.4,applicable,2.76,1103500.0,"[0, 0, 0, 0, 0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2024,4.2118,Conservation,11.0183,76.997,applicable,3.05,applicable,4.43,applicable,3.96,notApplicable,0.0,applicable,0.32,4492600.0,"[11703200.0, 548800.0, 2089600.0, 2376800.0, 4877100.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2025,4.7301,Industrial,12.9791,80.2209,applicable,2.39,applicable,0.32,notApplicable,0.0,notApplicable,0.0,applicable,4.99,54949300.0,"[812200.0, 9988300.0, 4656600.0, 1015900.0, 4699100.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2022,0.0448,Agricultural,11.0175,76.9725,notApplicable,0.0,applicable,5.15,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,101200.0,"[146100.0, 30568900.0, 3386000.0, 189000.0, 1281900.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2025,0.4354,Industrial,12.9791,80.2209,applicable,0.8,applicable,1.92,notApplicable,0.0,applicable,3.17,notApplicable,0.0,5092300.0,"[812200.0, 9988300.0, 4656600.0, 1015900.0, 4699100.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2022,0.2995,Agricultural,12.9791,80.2209,notApplicable,0.0,applicable,3.05,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,881000.0,"[4480300.0, 1136800.0, 2472800.0, 2723700.0, 2990600.0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2023,0.06,Agricultural,11.0183,76.997,notApplicable,0.0,applicable,4.14,applicable,1.07,notApplicable,0.0,applicable,4.07,116600.0,"[927400.0, 7279800.0, 9981500.0, 14718500.0, 119400.0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2023,1.2489,Commercial,9.921,78.1197,notApplicable,0.0,applicable,1.06,applicable,4.0,applicable,2.06,notApplicable,0.0,12439600.0,"[1217400.0, 5297300.0, 867300.0, 637900.0, 19826500.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2021,1.5901,Industrial,11.0616,76.9366,notApplicable,0.0,applicable,4.22,applicable,2.6,applicable,4.8,applicable,2.13,9823600.0,"[0, 0, 0, 0, 0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2024,0.324,Residential,11.0175,76.9725,applicable,4.54,applicable,4.28,applicable,1.56,notApplicable,0.0,applicable,0.22,2136000.0,"[749700.0, 35211300.0, 14300700.0, 151900.0, 7908700.0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2025,0.6652,Commercial,10.4508,77.5148,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,applicable,5.15,applicable,5.84,20138800.0,"[67869300.0, 103542900.0, 44925200.0, 3078900.0, 472800.0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2021,0.1146,Residential,9.921,78.1197,applicable,2.97,applicable,3.64,applicable,1.12,applicable,1.05,applicable,1.02,563800.0,"[0, 0, 0, 0, 0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2024,1.6153,Conservation,10.4508,77.5148,applicable,0.85,applicable,0.55,applicable,3.93,notApplicable,0.0,applicable,3.7,1996100.0,"[64681100.0, 241700.0, 44019300.0, 6392900.0, 43591700.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2024,1.814,Agricultural,12.9791,80.2209,notApplicable,0.0,applicable,5.84,notApplicable,0.0,applicable,3.22,applicable,5.87,4110000.0,"[379000.0, 3141200.0, 326500.0, 7256100.0, 46031100.0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2025,0.0178,Industrial,11.0183,76.997,notApplicable,0.0,applicable,1.16,applicable,4.86,notApplicable,0.0,notApplicable,0.0,171000.0,"[8301200.0, 222900.0, 5292400.0, 59415000.0, 622800.0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2021,0.2769,Commercial,11.0183,76.997,applicable,1.99,applicable,3.4,applicable,3.9,notApplicable,0.0,notApplicable,0.0,2675300.0,"[0, 0, 0, 0, 0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2025,1.6853,Agricultural,10.9979,76.9994,applicable,3.1,applicable,2.02,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,3792400.0,"[10468800.0, 6219300.0, 2222100.0, 21552800.0, 9695700.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2021,0.4638,Residential,9.9677,78.1653,applicable,1.14,applicable,4.16,applicable,0.66,notApplicable,0.0,applicable,3.83,2403300.0,"[0, 0, 0, 0, 0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2022,1.9455,Residential,11.0183,76.997,applicable,0.43,applicable,4.33,applicable,4.16,notApplicable,0.0,notApplicable,0.0,12368300.0,"[1821200.0, 2196700.0, 12626700.0, 9188700.0, 926300.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2021,0.1441,Conservation,9.4523,77.5533,applicable,0.71,notApplicable,0.0,applicable,0.75,notApplicable,0.0,notApplicable,0.0,141900.0,"[0, 0, 0, 0, 0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2021,3.0751,Residential,10.9979,76.9994,applicable,1.01,applicable,0.92,applicable,3.5,notApplicable,0.0,applicable,0.43,20706100.0,"[0, 0, 0, 0, 0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2025,1.0501,Industrial,9.924,78.135,applicable,4.16,applicable,3.8,applicable,3.93,applicable,4.5,notApplicable,0.0,5834600.0,"[429900.0, 2455500.0, 261600.0, 10850700.0, 9447900.0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2021,0.0316,Conservation,9.921,78.1197,applicable,3.3,notApplicable,0.0,notApplicable,0.0,applicable,4.95,applicable,0.83,30600.0,"[0, 0, 0, 0, 0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2024,7.9786,Industrial,12.9834,80.259,applicable,5.7,applicable,1.04,applicable,1.44,applicable,3.5,applicable,5.93,68375500.0,"[42756000.0, 33292000.0, 2462400.0, 71681000.0, 571300.0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2024,2.1377,Commercial,10.4508,77.5148,applicable,1.93,applicable,4.33,applicable,5.25,applicable,3.24,applicable,4.08,69023000.0,"[64681100.0, 241700.0, 44019300.0, 6392900.0, 43591700.0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2023,7.6516,Industrial,12.9834,80.259,applicable,4.22,applicable,2.46,applicable,0.26,notApplicable,0.0,applicable,4.74,71681000.0,"[964500.0, 12154600.0, 507200.0, 352500.0, 52013100.0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2025,1.7353,Conservation,12.9834,80.259,applicable,4.79,notApplicable,0.0,notApplicable,0.0,applicable,4.11,applicable,1.72,2653500.0,"[1082700.0, 2731200.0, 52497700.0, 5410100.0, 14039900.0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2024,0.3524,Residential,11.349,77.6951,applicable,5.72,applicable,5.84,applicable,3.55,applicable,0.28,applicable,4.92,1330900.0,"[34594300.0, 709100.0, 364400.0, 282100.0, 42800.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2021,1.184,Conservation,10.9979,76.9994,notApplicable,0.0,applicable,2.86,notApplicable,0.0,applicable,2.36,notApplicable,0.0,1423000.0,"[0, 0, 0, 0, 0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2024,1.5328,Conservation,12.9791,80.2209,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,applicable,5.06,applicable,0.72,2660900.0,"[379000.0, 3141200.0, 326500.0, 7256100.0, 46031100.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2024,0.115,Agricultural,9.924,78.135,applicable,0.86,notApplicable,0.0,applicable,5.17,notApplicable,0.0,applicable,5.71,200500.0,"[15115400.0, 26585100.0, 2592100.0, 2977200.0, 25018100.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2024,1.677,Industrial,8.813,78.1341,notApplicable,0.0,applicable,5.44,applicable,5.47,notApplicable,0.0,applicable,4.11,8490900.0,"[1337100.0, 3044100.0, 9471400.0, 285400.0, 30435200.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2021,1.7612,Agricultural,9.924,78.135,applicable,1.32,notApplicable,0.0,notApplicable,0.0,applicable,3.94,notApplicable,0.0,3199100.0,"[0, 0, 0, 0, 0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2024,1.966,Conservation,8.813,78.1341,applicable,3.86,applicable,4.75,applicable,5.09,notApplicable,0.0,applicable,3.84,1311400.0,"[1337100.0, 3044100.0, 9471400.0, 285400.0, 30435200.0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2023,0.1826,Residential,8.7139,77.7567,applicable,4.51,applicable,0.96,notApplicable,0.0,applicable,2.83,applicable,3.86,731500.0,"[380900.0, 143400.0, 2666400.0, 5706900.0, 18473300.0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2023,6.8426,Residential,11.0183,76.997,notApplicable,0.0,applicable,3.9,applicable,3.56,notApplicable,0.0,applicable,0.8,44077100.0,"[927400.0, 7279800.0, 9981500.0, 14718500.0, 119400.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2021,0.7709,Agricultural,9.4523,77.5533,notApplicable,0.0,applicable,3.02,applicable,3.83,notApplicable,0.0,applicable,1.42,950000.0,"[0, 0, 0, 0, 0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2022,0.0352,Industrial,9.9677,78.1653,applicable,0.23,applicable,3.23,applicable,1.68,notApplicable,0.0,applicable,0.91,258400.0,"[58948600.0, 17453400.0, 206400.0, 90500.0, 21717900.0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2025,0.2033,Agricultural,8.7139,77.7567,applicable,1.79,applicable,1.36,applicable,0.73,notApplicable,0.0,applicable,4.31,316700.0,"[1664700.0, 1252200.0, 112000.0, 32276700.0, 930400.0]"
